id,title,author,text,label
0,House Dem Aide: We Didnt Even See Comeys Letter Until Jason Chaffetz Tweeted It,Darrell Lucus,"House Dem Aide: We Didnt Even See Comeys Letter Until Jason Chaffetz Tweeted It By Darrell Lucus on October 30, 2016 Subscribe Jason Chaffetz on the stump in American Fork, Utah ( image courtesy Michael Jolley, available under a Creative Commons-BY license) 
With apologies to Keith Olbermann, there is no doubt who the Worst Person in The World is this weekFBI Director James Comey. But according to a House Democratic aide, it looks like we also know who the second-worst person is as well. It turns out that when Comey sent his now-infamous letter announcing that the FBI was looking into emails that may be related to Hillary Clintons email server, the ranking Democrats on the relevant committees didnt hear about it from Comey. They found out via a tweet from one of the Republican committee chairmen. 
As we now know, Comey notified the Republican chairmen and Democratic ranking members of the House Intelligence, Judiciary, and Oversight committees that his agency was reviewing emails it had recently disco...",1
1,"FLYNN: Hillary Clinton, Big Woman on Campus - Breitbart",Daniel J. Flynn,"Ever get the feeling your life circles the roundabout rather than heads in a straight line toward the intended destination? [Hillary Clinton remains the big woman on campus in leafy, liberal Wellesley, Massachusetts. Everywhere else votes her most likely to don her inauguration dress for the remainder of her days the way Miss Havisham forever wore that wedding dress.  Speaking of Great Expectations, Hillary Rodham overflowed with them 48 years ago when she first addressed a Wellesley graduating class. The president of the college informed those gathered in 1969 that the students needed no debate so far as I could ascertain as to who their spokesman was to be (kind of the like the Democratic primaries in 2016 minus the   terms unknown then even at a Seven Sisters school). I am very glad that Miss Adams made it clear that what I am speaking for today is all of us   the 400 of us, Miss Rodham told her classmates. After appointing herself Edger Bergen to the Charlie McCarthys and Mortimer Snerds in attend...",0
2,Why the Truth Might Get You Fired,Consortiumnews.com,"Why the Truth Might Get You Fired October 29, 2016 
The tension between intelligence analysts and political policymakers has always been between honest assessments and desired results, with the latter often overwhelming the former, as in the Iraq War, writes Lawrence Davidson. 
By Lawrence Davidson 
For those who might wonder why foreign policy makers repeatedly make bad choices, some insight might be drawn from the following analysis. The action here plays out in the United States, but the lessons are probably universal. 
Back in the early spring of 2003, George W. Bush initiated the invasion of Iraq. One of his key public reasons for doing so was the claim that the countrys dictator, Saddam Hussein, was on the verge of developing nuclear weapons and was hiding other weapons of mass destruction. The real reason went beyond that charge and included a long-range plan for regime change in the Middle East. President George W. Bush and Vice President Dick Cheney receive an Oval Office briefing from CIA Dire...",1
3,15 Civilians Killed In Single US Airstrike Have Been Identified,Jessica Purkiss,"Videos 15 Civilians Killed In Single US Airstrike Have Been Identified The rate at which civilians are being killed by American airstrikes in Afghanistan is now higher than it was in 2014 when the US was engaged in active combat operations.   Photo of Hellfire missiles being loaded onto a US military Reaper drone in Afghanistan by Staff Sgt. Brian Ferguson/U.S. Air Force. 
The Bureau has been able to identify 15 civilians killed in a single US drone strike in Afghanistan last month  the biggest loss of civilian life in one strike since the attack on the Medecins Sans Frontieres hospital (MSF) last October. 
The US claimed it had conducted a counter-terrorism strike against Islamic State (IS) fighters when it hit Nangarhar province with missiles on September 28. But the next day the United Nations issued an unusually rapid and strong statement saying the strike had killed 15 civilians and injured 13 others who had gathered at a house to celebrate a tribal elders return from a pilgrimage to Mecca. 
The B...",1
4,Iranian woman jailed for fictional unpublished story about woman stoned to death for adultery,Howard Portnoy,"Print 
An Iranian woman has been sentenced to six years in prison after Irans Revolutionary Guard searched her home and found a notebook that contained a fictional story shed written about a woman who was stoned to death, according to the Eurasia Review . 
Golrokh Ebrahimi Iraee, 35, is the wife of political prisoner Arash Sadeghi, 36, who is serving a 19-year prison sentence for being a human rights activist, the publication reported. 
When the intelligence unit of the Revolutionary Guards came to arrest her husband, they raided their apartment  without a warrant  and found drafts of stories that Ebrahimi Iraee had written, the article stated. 
One of the confiscated drafts was a story about stoning women to death for adultery  never published, never presented to anyone, the article stated. The narrative followed the story of a protagonist that watched a movie about stoning of women under Islamic law for adultery.",1
5,Jackie Mason: Hollywood Would Love Trump if He Bombed North Korea over Lack of Trans Bathrooms (Exclusive Video) - Breitbart,Daniel Nussbaum,"In these trying times, Jackie Mason is the Voice of Reason. [In this weeks exclusive clip for Breitbart News, Jackie discusses the looming threat of North Korea, and explains how President Donald Trump could win the support of the Hollywood left if the U. S. needs to strike first.  If he decides to bomb them, the whole country will be behind him, because everybody will realize he had no choice and that was the only thing to do, Jackie says. Except the Hollywood left. Theyll get nauseous.  [Trump] could win the left over, theyll fall in love with him in a minute. If he bombed them for a better reason, Jackie explains. Like if they have no transgender toilets.  Jackie also says its no surprise that Hollywood celebrities didnt support Trumps strike on a Syrian airfield this month. They were infuriated, he says. Because it might only save lives. That doesnt mean anything to them. If it only saved the environment, or climate change! Theyd be the happiest people in the world.  Still, Jackie s...",0
6,"Life: Life Of Luxury: Elton Johns 6 Favorite Shark Pictures To Stare At During Long, Transcontinental Flights",nan,"Ever wonder how Britains most iconic pop pianist gets through a long flight? Here are the six pictures of sharks Sir Elton John likes to stare at to pass the time on an airplane. 1. A Shark Swimming 
Sit next to Elton John on a flight and youll see a man living in the lap of luxury, as he immediately tapes this photo of a shark darting through the ocean over his window to stare at throughout the trip. The platinum-selling artist has been known to pull his window shade down to make the shark disappear, and then quickly retract it to mark the animals triumphant return. He will often repeat this act dozens of times per flight. 2. A Great White Shark Leaping Into The Air 
When youre an international pop sensation worth an estimated $450 million, people go the extra mile to make you happy. Flight crews are instructed to place this photo of a breaching great white in Elton Johns seat-back pocket before he even boards the plane. The five-time Grammy winner loves to pull the image out at his leisure to stare ...",1
7,Benoît Hamon Wins French Socialist Partys Presidential Nomination - The New York Times,Alissa J. Rubin,"PARIS     France chose an idealistic, traditional   candidate in Sundays primary to represent the Socialist and   parties in the presidential election this spring. The candidate, Benoît Hamon, 49, who ran on the slogan that he would make Frances heart beat, bested Manuel Valls, the former prime minister, whose campaign has promoted more   policies and who has a strong    background. Mr. Hamon appeared to have won by a wide margin, with incomplete returns showing him with an estimated 58 percent of the vote to Mr. Vallss 41 percent. Tonight the left holds its head up high again it is looking to the future, Mr. Hamon said, addressing his supporters. Our country needs the left, but a modern, innovative left, he said. Mr. Hamons victory was the clearest sign yet that voters on the left want a break with the policies of President François Hollande, who in December announced that he would not seek  . However, Mr. Hamons strong showing is unlikely to change widespread assessments that   candidates hav...",0
8,Excerpts From a Draft Script for Donald Trumps Q&ampA With a Black Churchs Pastor - The New York Times,nan,"Donald J. Trump is scheduled to make a highly anticipated visit to an   church in Detroit on Saturday, the first such visit of his campaign. There, he will participate in a    session conducted by Bishop Wayne T. Jackson of the church, Great Faith Ministries International. Given the importance of the visit, the Trump team went so far as to script Mr. Trumps answers to Bishop Jacksons questions, which were submitted in advance. After this article was published on Thursday night, a campaign official said that Mr. Trump would also speak to the churchs congregation and then tour some neighborhoods with Ben Carson, a former presidential candidate and Detroit native. Below are excerpts from a draft of the script that was obtained by The New York Times. _____ Mr. Trump there is racial divide in our country and it is evident that the tension is boiling over. Case and point Reverend Pinckney in South Carolina was gunned down when a white young man came into their Bible Study and slaughtered the Reverend and eigh...",0
9,"A Back-Channel Plan for Ukraine and Russia, Courtesy of Trump Associates - The New York Times",Megan Twohey and Scott Shane,"A week before Michael T. Flynn resigned as national security adviser, a sealed proposal was   to his office, outlining a way for President Trump to lift sanctions against Russia. Mr. Flynn is gone, having been caught lying about his own discussion of sanctions with the Russian ambassador. But the proposal, a peace plan for Ukraine and Russia, remains, along with those pushing it: Michael D. Cohen, the presidents personal lawyer, who delivered the document Felix H. Sater, a business associate who helped Mr. Trump scout deals in Russia and a Ukrainian lawmaker trying to rise in a political opposition movement shaped in part by Mr. Trumps former campaign manager Paul Manafort. At a time when Mr. Trumps ties to Russia, and the people connected to him, are under heightened scrutiny     with investigations by American intelligence agencies, the F. B. I. and Congress     some of his associates remain willing and eager to wade into   efforts behind the scenes. Mr. Trump has confounded Democrats and Republican...",0
10,Obamas Organizing for Action Partners with Soros-Linked Indivisible to Disrupt Trumps Agenda,Aaron Klein,"Organizing for Action, the activist group that morphed from Barack Obamas first presidential campaign, has partnered with the   Indivisible Project for online trainings on how to protest President Donald Trumps agenda. [Last week, Breitbart News extensively reported that Indivisible leaders are openly associated with groups financed by billionaire George Soros.  Politico earlier this month profiled Indivisible in an article titled, Inside the protest movement that has Republicans reeling.   The news agency not only left out the Soros links, but failed to note that the organizations cited in its article as helping to amplify Indivisibles message are either financed directly by Soros or have close ties to groups funded by the billionaire, as Breitbart News documented. Organizing for Action (OFA) is a   community organizing project that sprung from Obamas 2012 campaign organization, Organizing for America, becoming a nonprofit described by the Washington Post as advocate[ing] for the presidents poli...",0
11,"BBC Comedy Sketch ""Real Housewives of ISIS"" Causes Outrage",Chris Tomlinson,"The BBC produced spoof on the Real Housewives TV programmes, which has a comedic Islamic State twist, has been criticised by Leftists and Muslims who claim the sketch is offensive. [The BBC released the trailer earlier this week and were immediately slammed by those on the left and Muslims who thought that making fun of the brides of members of the terror group was out of the bounds of conventional humour. The sketch is part of a new programme called Revolting written by Jolyon Rubinstein and Heydon Prowse which, according to the BBC, is satirising the state of the nation.   LOLOLOL pic. twitter.      Raheem Kassam (@RaheemKassam) January 4, 2017,  The BBC2 Facebook page was inundated with criticism. One user wrote, Im mortified that the BBC had produced such a programme. This is simply bad taste. The fact it is a comedy makes it even more worrying that humour should be associated with the actions of ISIS. Is this really what TV licenses are funding! ? Others took a different point of view includ...",0
12,Russian Researchers Discover Secret Nazi Military Base Treasure Hunter in the Arctic [Photos],Amando Flavio,"The mystery surrounding The Third Reich and Nazi Germany is still a subject of debate between many observers. Some believe that Nazi Germany, under the control of Adolf Hitler, possessed supernatural powers, and largely employed pseudo-science during the 1933-1945 period. However, some also hold that the above belief is just a mere speculation without any proven fact. Over the years, researchers have searched extensively for answers to some of the more mysterious activities associated with Nazi Germany.
Nazi Germany invaded Russia (formerly the USSR) during the Second World War on June 22, 1941. At the time, the German army progressed deep into Russian territory, gaining ground close to the capital Moscow, before the Russians could counter-attack, eventually driving the Nazis back.
During the Nazi occupation in Russia, in 1942, the Nazis built a secret military base around the Arctic, code-named Schatzgraber or Treasure Hunter, which was reportedly very instrumental in the war against Russia. The base ...",1
13,US Officials See No Link Between Trump and Russia,Jason Ditz,"Clinton Campaign Demands FBI Affirm Trump's Russia Ties   
With the 2016 election campaign winding down, the Clinton campaign is ratcheting up demands for the FBI to publicly confirm the campaigns allegations that Republican nominee Donald Trump is secretly in league with Russia. Sen. Harry Reid (D  NV) went so far as to claim the FBI has secret explosive evidence of coordination between the Trump campaign and the Russian government that it is withholding. 
FBI officials familiar with their investigations into the allegations, which the Clinton campaign started publicizing around the Democratic National Convention, say theyve turned up nothing to connect Trump and Russia , leading FBI Director James Comey to decide against making any statements to that effect. 
The Clinton campaign has been making the allegations so long that they have taken to claiming everyone knows that they are true, and appears unsettled by the FBIs refusal to sign off on the claims simply because they havent been able to fin...",1
14,"Re: Yes, There Are Paid Government Trolls On Social Media, Blogs, Forums And Websites",AnotherAnnie,"Yes, There Are Paid Government Trolls On Social Media, Blogs, Forums And Websites   February 26th, 2014 
Do you want solid proof that paid government shills are targeting websites, blogs, forums and social media accounts? For years, many have suspected that government trolls have been systematically causing havoc all over the Internet, but proving it has been difficult. But now thanks to documents leaked by Edward Snowden and revealed by Glenn Greenwald, we finally have hard evidence that western governments have been doing this. As you will see below, a UK intelligence outfit known as the Government Communications Headquarters, through a previously secret unit known as the Joint Threat Research Intelligence Group, has been systematically attempting to control, infiltrate, manipulate, and warp online discourse. This should be deeply disturbing to anyone that values free speech on the Internet. 
It isnt just that the British government is trying to influence what people are thinking. The reality is that ...",1
15,"In Major League Soccer, Argentines Find a Home and Success - The New York Times",Jack Williams,"Guillermo Barros Schelotto was not the first Argentine player to set foot on a Major League Soccer field. Statistically speaking, he was the 28th when he made his debut for the Columbus Crew in 2007. But Schelottos phone still rings to this day, more than six years after he left the league, with calls from fellow Argentines looking for advice. Though Schelotto, 43, is currently the coach of Boca Juniors, the most decorated team in Argentina, most of the players who call him want to talk about other teams, about other countries, about a soccer world away from the   environment of Buenos Aires. Most of them like to talk about the cities, Schelotto said. Many of them find a way to come. Argentines now make up the   demographic in M. L. S. trailing only Americans. According to the Elias Sports Bureau, going into this seasons openers, 98 Argentine players had been featured in an M. L. S.   game since the leagues inception. Sebastian Blanco, a new designated player for Portland, made his debut in an opener ...",0
